unit_number,time_in_cycles,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_7,sensor_measurement_9,sensor_measurement_11,sensor_measurement_12,sensor_measurement_17,sensor_measurement_20,sensor_measurement_21,RUL,anomaly
1,1,0.18373493975903443,0.4068018312622641,0.30975692099932317,0.72624798711756,0.10975500314098952,0.3690476190476204,0.6332622601279212,0.3333333333333357,0.7131782945736447,0.7246616956641816,191,0.0
1,2,0.2831325301204686,0.45301940265969165,0.3526333558406485,0.628019323671495,0.10024230458584071,0.38095238095238315,0.7654584221748308,0.3333333333333357,0.6666666666666643,0.731013532173435,190,0.0
1,3,0.34337349397591765,0.36952256376716974,0.370526671168129,0.7101449275362341,0.1400430763708158,0.25000000000000355,0.7953091684434952,0.1666666666666714,0.6279069767441854,0.6213753106876538,189,0.0
1,4,0.34337349397591765,0.25615870939612506,0.3311951384199858,0.7407407407407476,0.1245176343892993,0.16666666666666785,0.8891257995735629,0.3333333333333357,0.5736434108527142,0.6623860811930413,188,0.0
1,5,0.34939759036143414,0.257466753869636,0.4046252532072927,0.6682769726247955,0.14995961590236107,0.25595238095238315,0.7462686567164241,0.4166666666666714,0.5891472868217029,0.7045015189174251,187,0.0
1,6,0.2680722891566347,0.2927839546544604,0.27211343686698086,0.7761674718196474,0.1254150587813001,0.18452380952380665,0.63752665245201,0.25,0.651162790697672,0.652720243026792,186,0.0
1,7,0.38253012048193114,0.46391977327229483,0.2619851451721793,0.7230273752012977,0.1678183613030555,0.3035714285714306,0.7739872068230369,0.3333333333333357,0.7441860465116292,0.6672190002761695,185,0.0
1,8,0.40662650602408235,0.2598648354044073,0.31600270087778526,0.6441223832528209,0.0855694157767175,0.23214285714285765,0.8059701492537386,0.25,0.6434108527131777,0.5749792874896471,184,0.0
1,9,0.27409638554217963,0.434706780030524,0.21185010128291637,0.6183574879227081,0.11096652607017887,0.26190476190476275,0.660980810234534,0.3333333333333357,0.7054263565891432,0.7075393537696755,183,0.0
1,10,0.15060240963856586,0.4403749727490762,0.3073936529372041,0.6022544283413964,0.13447904514045206,0.10714285714285765,0.660980810234534,0.4166666666666714,0.6279069767441854,0.7942557304611952,182,0.0
1,11,0.32228915662648205,0.23348593852191613,0.31043214044564493,0.755233494363921,0.12510096024410444,0.17857142857142705,0.5778251599147097,0.3333333333333357,0.6201550387596875,0.8070974868820784,181,0.0
1,12,0.2560240963855165,0.26967516895575017,0.30216070222822466,0.7520128824476586,0.12402405097370917,0.19642857142857295,0.6631130063965855,0.25,0.7131782945736447,0.6514774924054123,180,0.0
1,13,0.5602409638554491,0.24307826466100124,0.31363943281566264,0.5780998389694076,0.11258188997577179,0.31547619047619335,0.6737739872068289,0.4166666666666714,0.6124031007751931,0.5267881800607555,179,0.0
